Institution Name,City,State,Postal Code,Website,Average SAT for males,Average SAT for females,Average GPA for males,Average GPA for females,In state tuition,Out state tuition,Average ACT males,Average ACT females,Average number of AP Classes as male,Average number of AP Classes as female,Average number of Extracurriculars
"Goldsmiths College, University of London",Los Angeles,California,90087,http://github.io/velit/donec/diam/neque/vestibulum/eget.html?integer=ac&aliquet=est&massa=lacinia&id=nisi&lobortis=venenatis&convallis=tristique&tortor=fusce&risus=congue&dapibus=diam&augue=id&vel=ornare&accumsan=imperdiet&tellus=sapien&nisi=urna&eu=pretium&orci=nisl&mauris=ut&lacinia=volutpat&sapien=sapien&quis=arcu&libero=sed&nullam=augue&sit=aliquam&amet=erat&turpis=volutpat&elementum=in&ligula=congue&vehicula=etiam&consequat=justo&morbi=etiam&a=pretium&ipsum=iaculis&integer=justo&a=in&nibh=hac&in=habitasse&quis=platea&justo=dictumst&maecenas=etiam&rhoncus=faucibus&aliquam=cursus&lacus=urna&morbi=ut&quis=tellus&tortor=nulla&id=ut&nulla=erat&ultrices=id&aliquet=mauris,800,934,1.55,2.38,37073,42437,35,29,4,9,0
Taganrog State University of Radioengineering,Baltimore,Maryland,21229,http://nifty.com/ornare/imperdiet/sapien/urna/pretium/nisl.png?tempus=platea&semper=dictumst&est=maecenas&quam=ut&pharetra=massa&magna=quis&ac=augue&consequat=luctus&metus=tincidunt&sapien=nulla&ut=mollis&nunc=molestie&vestibulum=lorem&ante=quisque&ipsum=ut&primis=erat&in=curabitur&faucibus=gravida&orci=nisi&luctus=at&et=nibh&ultrices=in&posuere=hac&cubilia=habitasse&curae=platea&mauris=dictumst&viverra=aliquam&diam=augue&vitae=quam&quam=sollicitudin&suspendisse=vitae&potenti=consectetuer&nullam=eget&porttitor=rutrum&lacus=at&at=lorem&turpis=integer&donec=tincidunt&posuere=ante&metus=vel&vitae=ipsum&ipsum=praesent&aliquam=blandit&non=lacinia&mauris=erat&morbi=vestibulum&non=sed&lectus=magna&aliquam=at&sit=nunc&amet=commodo&diam=placerat&in=praesent&magna=blandit&bibendum=nam&imperdiet=nulla&nullam=integer&orci=pede&pede=justo&venenatis=lacinia&non=eget&sodales=tincidunt&sed=eget&tincidunt=tempus&eu=vel&felis=pede&fusce=morbi&posuere=porttitor&felis=lorem&sed=id&lacus=ligula&morbi=suspendisse&sem=ornare&mauris=consequat&laoreet=lectus&ut=in&rhoncus=est&aliquet=risus&pulvinar=auctor&sed=sed&nisl=tristique&nunc=in&rhoncus=tempus&dui=sit&vel=amet,1142,1464,3.5,3.88,12140,69621,19,19,4,16,1
Viterbo College,Washington,District of Columbia,20470,http://nytimes.com/dui.html?volutpat=mi&quam=nulla&pede=ac&lobortis=enim&ligula=in&sit=tempor&amet=turpis&eleifend=nec&pede=euismod&libero=scelerisque&quis=quam&orci=turpis&nullam=adipiscing&molestie=lorem&nibh=vitae&in=mattis&lectus=nibh&pellentesque=ligula&at=nec&nulla=sem&suspendisse=duis&potenti=aliquam&cras=convallis&in=nunc&purus=proin&eu=at&magna=turpis&vulputate=a&luctus=pede&cum=posuere&sociis=nonummy&natoque=integer&penatibus=non&et=velit&magnis=donec&dis=diam&parturient=neque&montes=vestibulum&nascetur=eget&ridiculus=vulputate&mus=ut&vivamus=ultrices&vestibulum=vel&sagittis=augue&sapien=vestibulum&cum=ante&sociis=ipsum&natoque=primis&penatibus=in&et=faucibus&magnis=orci&dis=luctus,788,1055,3.1,3.85,16329,27515,14,20,17,12,0
Lafayette College,El Paso,Texas,79950,https://addtoany.com/tempus/semper.jsp?sagittis=sed&nam=magna&congue=at&risus=nunc&semper=commodo&porta=placerat&volutpat=praesent&quam=blandit&pede=nam&lobortis=nulla&ligula=integer&sit=pede&amet=justo&eleifend=lacinia&pede=eget&libero=tincidunt&quis=eget&orci=tempus&nullam=vel&molestie=pede&nibh=morbi&in=porttitor&lectus=lorem&pellentesque=id&at=ligula,1030,942,3.52,1.04,19088,58642,11,22,17,1,7
Fukuoka University of Education,Mesa,Arizona,85215,http://cpanel.net/turpis/nec/euismod/scelerisque/quam/turpis/adipiscing.jpg?id=ligula&lobortis=sit&convallis=amet&tortor=eleifend&risus=pede&dapibus=libero&augue=quis&vel=orci&accumsan=nullam&tellus=molestie&nisi=nibh&eu=in&orci=lectus&mauris=pellentesque&lacinia=at&sapien=nulla&quis=suspendisse&libero=potenti&nullam=cras&sit=in&amet=purus&turpis=eu&elementum=magna&ligula=vulputate&vehicula=luctus&consequat=cum&morbi=sociis&a=natoque&ipsum=penatibus&integer=et&a=magnis&nibh=dis&in=parturient&quis=montes&justo=nascetur&maecenas=ridiculus&rhoncus=mus&aliquam=vivamus&lacus=vestibulum&morbi=sagittis&quis=sapien&tortor=cum&id=sociis&nulla=natoque&ultrices=penatibus&aliquet=et&maecenas=magnis&leo=dis&odio=parturient&condimentum=montes&id=nascetur&luctus=ridiculus&nec=mus&molestie=etiam&sed=vel&justo=augue&pellentesque=vestibulum&viverra=rutrum&pede=rutrum&ac=neque&diam=aenean&cras=auctor&pellentesque=gravida&volutpat=sem&dui=praesent&maecenas=id&tristique=massa&est=id&et=nisl,793,1525,1.29,3.54,23551,46530,29,16,19,13,11
Dow University of Health Sciences,Denver,Colorado,80299,https://usda.gov/ante/ipsum/primis.jsp?id=erat&ligula=volutpat&suspendisse=in&ornare=congue&consequat=etiam&lectus=justo&in=etiam&est=pretium&risus=iaculis&auctor=justo&sed=in&tristique=hac&in=habitasse&tempus=platea&sit=dictumst&amet=etiam&sem=faucibus&fusce=cursus&consequat=urna&nulla=ut&nisl=tellus&nunc=nulla&nisl=ut&duis=erat&bibendum=id&felis=mauris&sed=vulputate&interdum=elementum&venenatis=nullam&turpis=varius&enim=nulla&blandit=facilisi&mi=cras&in=non&porttitor=velit&pede=nec&justo=nisi&eu=vulputate&massa=nonummy&donec=maecenas&dapibus=tincidunt&duis=lacus&at=at&velit=velit&eu=vivamus&est=vel&congue=nulla&elementum=eget&in=eros&hac=elementum&habitasse=pellentesque&platea=quisque&dictumst=porta&morbi=volutpat&vestibulum=erat&velit=quisque&id=erat&pretium=eros&iaculis=viverra&diam=eget&erat=congue&fermentum=eget&justo=semper&nec=rutrum&condimentum=nulla&neque=nunc&sapien=purus&placerat=phasellus&ante=in,769,1238,1.38,2.89,42957,35403,11,36,8,10,11
Mulungushi University,Hartford,Connecticut,06152,http://cafepress.com/ultrices/posuere/cubilia/curae.js?lorem=vitae&id=quam&ligula=suspendisse&suspendisse=potenti&ornare=nullam&consequat=porttitor&lectus=lacus&in=at&est=turpis&risus=donec&auctor=posuere&sed=metus&tristique=vitae&in=ipsum&tempus=aliquam&sit=non&amet=mauris&sem=morbi&fusce=non&consequat=lectus&nulla=aliquam&nisl=sit&nunc=amet&nisl=diam&duis=in&bibendum=magna&felis=bibendum&sed=imperdiet&interdum=nullam&venenatis=orci&turpis=pede&enim=venenatis&blandit=non&mi=sodales&in=sed&porttitor=tincidunt&pede=eu&justo=felis&eu=fusce&massa=posuere&donec=felis&dapibus=sed&duis=lacus&at=morbi&velit=sem&eu=mauris&est=laoreet&congue=ut&elementum=rhoncus&in=aliquet&hac=pulvinar&habitasse=sed&platea=nisl&dictumst=nunc&morbi=rhoncus&vestibulum=dui&velit=vel&id=sem&pretium=sed&iaculis=sagittis&diam=nam&erat=congue&fermentum=risus&justo=semper&nec=porta&condimentum=volutpat&neque=quam&sapien=pede&placerat=lobortis&ante=ligula&nulla=sit&justo=amet&aliquam=eleifend&quis=pede&turpis=libero&eget=quis&elit=orci&sodales=nullam&scelerisque=molestie&mauris=nibh&sit=in&amet=lectus&eros=pellentesque&suspendisse=at&accumsan=nulla&tortor=suspendisse&quis=potenti&turpis=cras&sed=in,1289,742,1.82,1.75,16362,43934,23,23,20,11,9
Thomas More College,Philadelphia,Pennsylvania,19184,http://virginia.edu/ultrices/posuere.aspx?lobortis=gravida&convallis=sem&tortor=praesent&risus=id&dapibus=massa&augue=id&vel=nisl&accumsan=venenatis&tellus=lacinia&nisi=aenean&eu=sit&orci=amet&mauris=justo&lacinia=morbi&sapien=ut&quis=odio&libero=cras&nullam=mi&sit=pede&amet=malesuada&turpis=in&elementum=imperdiet&ligula=et&vehicula=commodo&consequat=vulputate&morbi=justo&a=in&ipsum=blandit&integer=ultrices&a=enim&nibh=lorem&in=ipsum&quis=dolor&justo=sit&maecenas=amet,1182,615,2.5,2.38,38080,45154,22,11,8,15,4
University College of the Fraser Valley,Shawnee Mission,Kansas,66220,http://imdb.com/luctus/et/ultrices.html?lectus=ipsum&aliquam=dolor&sit=sit&amet=amet&diam=consectetuer&in=adipiscing&magna=elit&bibendum=proin&imperdiet=risus&nullam=praesent&orci=lectus&pede=vestibulum&venenatis=quam&non=sapien&sodales=varius&sed=ut&tincidunt=blandit&eu=non,1082,1433,3.37,3.14,23284,46878,11,24,12,7,8
Crimea State Medical University,Arlington,Texas,76016,http://youku.com/eget/rutrum/at/lorem/integer/tincidunt/ante.jsp?libero=congue&ut=vivamus&massa=metus&volutpat=arcu&convallis=adipiscing&morbi=molestie&odio=hendrerit&odio=at&elementum=vulputate&eu=vitae&interdum=nisl&eu=aenean&tincidunt=lectus&in=pellentesque&leo=eget&maecenas=nunc&pulvinar=donec&lobortis=quis&est=orci&phasellus=eget&sit=orci&amet=vehicula&erat=condimentum&nulla=curabitur&tempus=in,1151,610,3.52,1.61,24226,73303,22,31,18,0,6
Ulyanovsk State Pedagogical University,Atlanta,Georgia,30358,http://usa.gov/id/nisl/venenatis.html?ut=cras&massa=mi&volutpat=pede&convallis=malesuada&morbi=in&odio=imperdiet&odio=et&elementum=commodo&eu=vulputate&interdum=justo&eu=in&tincidunt=blandit&in=ultrices&leo=enim&maecenas=lorem&pulvinar=ipsum&lobortis=dolor&est=sit&phasellus=amet&sit=consectetuer&amet=adipiscing&erat=elit&nulla=proin&tempus=interdum&vivamus=mauris&in=non&felis=ligula&eu=pellentesque&sapien=ultrices&cursus=phasellus&vestibulum=id&proin=sapien&eu=in&mi=sapien&nulla=iaculis&ac=congue&enim=vivamus&in=metus&tempor=arcu&turpis=adipiscing&nec=molestie&euismod=hendrerit&scelerisque=at&quam=vulputate&turpis=vitae&adipiscing=nisl&lorem=aenean&vitae=lectus&mattis=pellentesque&nibh=eget&ligula=nunc&nec=donec&sem=quis,836,735,3.91,2.66,11332,49004,23,33,10,16,9
Kent State University - Stark,Albuquerque,New Mexico,87121,http://hud.gov/platea.png?metus=eget,1324,1261,0.63,2.19,11837,63323,26,28,9,5,7
Truman State University,Toledo,Ohio,43610,https://hibu.com/turpis/sed/ante/vivamus.json?amet=eleifend&eros=pede&suspendisse=libero&accumsan=quis&tortor=orci&quis=nullam&turpis=molestie&sed=nibh&ante=in&vivamus=lectus&tortor=pellentesque&duis=at&mattis=nulla&egestas=suspendisse&metus=potenti&aenean=cras&fermentum=in&donec=purus&ut=eu&mauris=magna&eget=vulputate&massa=luctus&tempor=cum&convallis=sociis&nulla=natoque&neque=penatibus&libero=et&convallis=magnis&eget=dis&eleifend=parturient&luctus=montes&ultricies=nascetur&eu=ridiculus&nibh=mus&quisque=vivamus&id=vestibulum&justo=sagittis&sit=sapien&amet=cum&sapien=sociis&dignissim=natoque&vestibulum=penatibus&vestibulum=et&ante=magnis&ipsum=dis,1578,890,0.85,0.94,42856,59362,26,20,18,2,3
Koyasan University,Alexandria,Virginia,22333,http://cnn.com/quam/turpis/adipiscing/lorem/vitae.json?cubilia=euismod&curae=scelerisque&duis=quam&faucibus=turpis&accumsan=adipiscing&odio=lorem&curabitur=vitae&convallis=mattis&duis=nibh&consequat=ligula&dui=nec&nec=sem&nisi=duis&volutpat=aliquam&eleifend=convallis&donec=nunc&ut=proin&dolor=at&morbi=turpis&vel=a&lectus=pede&in=posuere&quam=nonummy&fringilla=integer&rhoncus=non&mauris=velit&enim=donec&leo=diam&rhoncus=neque&sed=vestibulum&vestibulum=eget&sit=vulputate&amet=ut&cursus=ultrices&id=vel&turpis=augue&integer=vestibulum&aliquet=ante&massa=ipsum&id=primis&lobortis=in&convallis=faucibus&tortor=orci&risus=luctus&dapibus=et&augue=ultrices&vel=posuere&accumsan=cubilia&tellus=curae&nisi=donec&eu=pharetra&orci=magna&mauris=vestibulum&lacinia=aliquet&sapien=ultrices&quis=erat&libero=tortor,999,1418,0.95,0.88,23083,56788,34,34,2,1,5
Trident University,Corpus Christi,Texas,78465,https://bbb.org/vitae.jsp?sed=in&accumsan=faucibus&felis=orci&ut=luctus&at=et&dolor=ultrices&quis=posuere&odio=cubilia&consequat=curae&varius=nulla&integer=dapibus&ac=dolor&leo=vel&pellentesque=est&ultrices=donec&mattis=odio&odio=justo&donec=sollicitudin&vitae=ut&nisi=suscipit&nam=a&ultrices=feugiat&libero=et&non=eros&mattis=vestibulum&pulvinar=ac&nulla=est&pede=lacinia&ullamcorper=nisi&augue=venenatis&a=tristique&suscipit=fusce&nulla=congue&elit=diam&ac=id&nulla=ornare&sed=imperdiet&vel=sapien,800,1324,2.87,3.81,36154,47697,23,28,5,1,5
Universidad de Valparaiso,Fort Lauderdale,Florida,33345,https://jimdo.com/purus/phasellus/in/felis/donec.json?curabitur=et&gravida=ultrices&nisi=posuere&at=cubilia&nibh=curae&in=donec&hac=pharetra&habitasse=magna&platea=vestibulum&dictumst=aliquet&aliquam=ultrices&augue=erat&quam=tortor&sollicitudin=sollicitudin&vitae=mi&consectetuer=sit&eget=amet&rutrum=lobortis&at=sapien&lorem=sapien&integer=non&tincidunt=mi&ante=integer&vel=ac&ipsum=neque&praesent=duis&blandit=bibendum&lacinia=morbi&erat=non&vestibulum=quam&sed=nec&magna=dui&at=luctus&nunc=rutrum&commodo=nulla&placerat=tellus&praesent=in&blandit=sagittis&nam=dui&nulla=vel&integer=nisl&pede=duis&justo=ac&lacinia=nibh&eget=fusce&tincidunt=lacus&eget=purus&tempus=aliquet&vel=at&pede=feugiat&morbi=non&porttitor=pretium&lorem=quis&id=lectus&ligula=suspendisse&suspendisse=potenti&ornare=in&consequat=eleifend&lectus=quam&in=a&est=odio&risus=in&auctor=hac&sed=habitasse&tristique=platea&in=dictumst&tempus=maecenas&sit=ut&amet=massa&sem=quis&fusce=augue,1315,1334,2.37,3.78,29989,54774,32,19,10,5,11
Universidade Independente de Angola,Saint Louis,Missouri,63167,https://cdc.gov/magna.aspx?non=rutrum&pretium=nulla&quis=tellus&lectus=in&suspendisse=sagittis&potenti=dui&in=vel&eleifend=nisl&quam=duis&a=ac&odio=nibh&in=fusce&hac=lacus&habitasse=purus&platea=aliquet&dictumst=at&maecenas=feugiat&ut=non&massa=pretium&quis=quis&augue=lectus&luctus=suspendisse&tincidunt=potenti&nulla=in&mollis=eleifend&molestie=quam&lorem=a&quisque=odio&ut=in&erat=hac&curabitur=habitasse&gravida=platea&nisi=dictumst&at=maecenas&nibh=ut&in=massa&hac=quis&habitasse=augue&platea=luctus&dictumst=tincidunt&aliquam=nulla&augue=mollis&quam=molestie&sollicitudin=lorem&vitae=quisque&consectetuer=ut&eget=erat&rutrum=curabitur&at=gravida&lorem=nisi&integer=at&tincidunt=nibh&ante=in&vel=hac&ipsum=habitasse&praesent=platea&blandit=dictumst&lacinia=aliquam&erat=augue&vestibulum=quam&sed=sollicitudin&magna=vitae&at=consectetuer&nunc=eget&commodo=rutrum&placerat=at&praesent=lorem&blandit=integer&nam=tincidunt&nulla=ante&integer=vel&pede=ipsum&justo=praesent&lacinia=blandit&eget=lacinia&tincidunt=erat&eget=vestibulum&tempus=sed&vel=magna&pede=at&morbi=nunc&porttitor=commodo&lorem=placerat&id=praesent&ligula=blandit&suspendisse=nam&ornare=nulla&consequat=integer&lectus=pede&in=justo&est=lacinia,963,1585,3.67,3.89,32436,25879,35,21,16,8,4
Kyoto Prefectural University of Medicine,Tallahassee,Florida,32304,http://blogger.com/lacinia/nisi/venenatis/tristique/fusce.jsp?praesent=lectus&blandit=suspendisse&lacinia=potenti&erat=in&vestibulum=eleifend&sed=quam&magna=a&at=odio&nunc=in&commodo=hac&placerat=habitasse&praesent=platea&blandit=dictumst&nam=maecenas&nulla=ut&integer=massa&pede=quis&justo=augue&lacinia=luctus&eget=tincidunt&tincidunt=nulla&eget=mollis&tempus=molestie&vel=lorem&pede=quisque&morbi=ut&porttitor=erat&lorem=curabitur&id=gravida&ligula=nisi&suspendisse=at&ornare=nibh&consequat=in&lectus=hac&in=habitasse&est=platea&risus=dictumst&auctor=aliquam&sed=augue&tristique=quam&in=sollicitudin&tempus=vitae&sit=consectetuer&amet=eget&sem=rutrum&fusce=at&consequat=lorem&nulla=integer&nisl=tincidunt&nunc=ante&nisl=vel&duis=ipsum&bibendum=praesent&felis=blandit&sed=lacinia&interdum=erat&venenatis=vestibulum&turpis=sed&enim=magna&blandit=at&mi=nunc&in=commodo&porttitor=placerat&pede=praesent&justo=blandit&eu=nam&massa=nulla&donec=integer&dapibus=pede&duis=justo&at=lacinia&velit=eget&eu=tincidunt&est=eget&congue=tempus&elementum=vel&in=pede&hac=morbi&habitasse=porttitor,1097,1447,2.71,3.14,11729,30273,10,18,20,2,6
Kabul Education University,Lehigh Acres,Florida,33972,https://prweb.com/justo/sollicitudin/ut/suscipit/a/feugiat/et.xml?sit=tempor&amet=turpis&nunc=nec&viverra=euismod&dapibus=scelerisque&nulla=quam&suscipit=turpis&ligula=adipiscing&in=lorem&lacus=vitae&curabitur=mattis&at=nibh&ipsum=ligula&ac=nec&tellus=sem&semper=duis&interdum=aliquam&mauris=convallis&ullamcorper=nunc&purus=proin&sit=at&amet=turpis&nulla=a,729,1163,1.95,1.8,17665,49257,23,23,5,17,6
Universidad Católica Anselmo Llorente,Shreveport,Louisiana,71105,https://latimes.com/nunc/nisl/duis/bibendum/felis/sed/interdum.jsp?ut=luctus&nunc=et&vestibulum=ultrices&ante=posuere&ipsum=cubilia&primis=curae&in=donec&faucibus=pharetra&orci=magna&luctus=vestibulum&et=aliquet&ultrices=ultrices&posuere=erat&cubilia=tortor&curae=sollicitudin&mauris=mi&viverra=sit&diam=amet&vitae=lobortis&quam=sapien&suspendisse=sapien&potenti=non&nullam=mi&porttitor=integer&lacus=ac&at=neque&turpis=duis&donec=bibendum&posuere=morbi&metus=non&vitae=quam&ipsum=nec&aliquam=dui&non=luctus&mauris=rutrum&morbi=nulla&non=tellus&lectus=in&aliquam=sagittis&sit=dui&amet=vel&diam=nisl&in=duis&magna=ac&bibendum=nibh&imperdiet=fusce&nullam=lacus&orci=purus&pede=aliquet&venenatis=at&non=feugiat&sodales=non&sed=pretium&tincidunt=quis&eu=lectus&felis=suspendisse&fusce=potenti&posuere=in&felis=eleifend&sed=quam&lacus=a&morbi=odio&sem=in&mauris=hac&laoreet=habitasse&ut=platea&rhoncus=dictumst&aliquet=maecenas&pulvinar=ut&sed=massa&nisl=quis&nunc=augue&rhoncus=luctus,687,856,0.73,1.54,25693,57367,26,15,20,15,4
Matej Bel University in Banská Bystrica,Anaheim,California,92812,http://pen.io/in.jpg?pretium=interdum&iaculis=mauris&diam=non&erat=ligula&fermentum=pellentesque&justo=ultrices&nec=phasellus&condimentum=id&neque=sapien&sapien=in&placerat=sapien&ante=iaculis&nulla=congue&justo=vivamus&aliquam=metus&quis=arcu&turpis=adipiscing&eget=molestie&elit=hendrerit&sodales=at&scelerisque=vulputate&mauris=vitae&sit=nisl&amet=aenean&eros=lectus&suspendisse=pellentesque&accumsan=eget&tortor=nunc&quis=donec&turpis=quis&sed=orci&ante=eget&vivamus=orci&tortor=vehicula&duis=condimentum&mattis=curabitur&egestas=in&metus=libero&aenean=ut&fermentum=massa&donec=volutpat&ut=convallis&mauris=morbi&eget=odio&massa=odio&tempor=elementum&convallis=eu&nulla=interdum&neque=eu&libero=tincidunt&convallis=in&eget=leo&eleifend=maecenas&luctus=pulvinar&ultricies=lobortis&eu=est&nibh=phasellus&quisque=sit&id=amet&justo=erat&sit=nulla&amet=tempus&sapien=vivamus&dignissim=in&vestibulum=felis&vestibulum=eu&ante=sapien&ipsum=cursus&primis=vestibulum&in=proin&faucibus=eu&orci=mi&luctus=nulla&et=ac&ultrices=enim&posuere=in&cubilia=tempor,1116,1065,3.53,2.06,27394,44710,20,33,9,16,12
Universitas Pakuan,Sacramento,California,94273,https://ted.com/ligula/suspendisse/ornare/consequat.json?aliquet=velit&at=id&feugiat=pretium&non=iaculis&pretium=diam&quis=erat&lectus=fermentum&suspendisse=justo&potenti=nec&in=condimentum&eleifend=neque&quam=sapien&a=placerat&odio=ante&in=nulla&hac=justo&habitasse=aliquam&platea=quis&dictumst=turpis&maecenas=eget&ut=elit&massa=sodales&quis=scelerisque&augue=mauris&luctus=sit&tincidunt=amet&nulla=eros&mollis=suspendisse&molestie=accumsan&lorem=tortor&quisque=quis&ut=turpis&erat=sed&curabitur=ante&gravida=vivamus&nisi=tortor&at=duis&nibh=mattis&in=egestas&hac=metus&habitasse=aenean&platea=fermentum&dictumst=donec&aliquam=ut&augue=mauris&quam=eget&sollicitudin=massa&vitae=tempor&consectetuer=convallis&eget=nulla&rutrum=neque&at=libero&lorem=convallis&integer=eget&tincidunt=eleifend&ante=luctus&vel=ultricies&ipsum=eu&praesent=nibh&blandit=quisque&lacinia=id&erat=justo&vestibulum=sit&sed=amet&magna=sapien&at=dignissim&nunc=vestibulum&commodo=vestibulum&placerat=ante&praesent=ipsum,1096,858,3.91,0.65,28491,58275,25,23,10,7,3
Fachhochschule Kufstein (Tirol),Stockton,California,95205,https://chronoengine.com/dolor/quis/odio/consequat/varius/integer.json?arcu=odio&sed=odio&augue=elementum&aliquam=eu&erat=interdum&volutpat=eu&in=tincidunt&congue=in&etiam=leo&justo=maecenas&etiam=pulvinar&pretium=lobortis&iaculis=est&justo=phasellus&in=sit&hac=amet&habitasse=erat&platea=nulla&dictumst=tempus&etiam=vivamus&faucibus=in&cursus=felis&urna=eu&ut=sapien&tellus=cursus&nulla=vestibulum&ut=proin&erat=eu&id=mi&mauris=nulla&vulputate=ac&elementum=enim&nullam=in&varius=tempor&nulla=turpis&facilisi=nec&cras=euismod&non=scelerisque&velit=quam&nec=turpis&nisi=adipiscing&vulputate=lorem&nonummy=vitae&maecenas=mattis&tincidunt=nibh&lacus=ligula&at=nec&velit=sem&vivamus=duis&vel=aliquam&nulla=convallis&eget=nunc&eros=proin&elementum=at&pellentesque=turpis&quisque=a&porta=pede&volutpat=posuere&erat=nonummy&quisque=integer&erat=non&eros=velit&viverra=donec&eget=diam&congue=neque&eget=vestibulum&semper=eget&rutrum=vulputate&nulla=ut&nunc=ultrices&purus=vel&phasellus=augue&in=vestibulum&felis=ante&donec=ipsum&semper=primis&sapien=in&a=faucibus&libero=orci&nam=luctus&dui=et&proin=ultrices&leo=posuere&odio=cubilia&porttitor=curae&id=donec&consequat=pharetra&in=magna&consequat=vestibulum&ut=aliquet&nulla=ultrices&sed=erat&accumsan=tortor&felis=sollicitudin&ut=mi&at=sit&dolor=amet&quis=lobortis,1545,1530,3.2,1.09,14900,26267,19,11,9,14,12
Université Badji Mokhtar,Loretto,Minnesota,55598,https://microsoft.com/ac/est/lacinia/nisi/venenatis.jpg?eget=nisl&eros=ut&elementum=volutpat&pellentesque=sapien&quisque=arcu&porta=sed&volutpat=augue&erat=aliquam&quisque=erat&erat=volutpat&eros=in&viverra=congue&eget=etiam&congue=justo&eget=etiam&semper=pretium&rutrum=iaculis&nulla=justo&nunc=in&purus=hac&phasellus=habitasse&in=platea&felis=dictumst&donec=etiam&semper=faucibus&sapien=cursus&a=urna&libero=ut&nam=tellus&dui=nulla&proin=ut&leo=erat&odio=id&porttitor=mauris&id=vulputate&consequat=elementum&in=nullam&consequat=varius&ut=nulla&nulla=facilisi&sed=cras&accumsan=non&felis=velit&ut=nec&at=nisi&dolor=vulputate&quis=nonummy&odio=maecenas&consequat=tincidunt&varius=lacus&integer=at&ac=velit&leo=vivamus&pellentesque=vel&ultrices=nulla&mattis=eget&odio=eros&donec=elementum&vitae=pellentesque&nisi=quisque&nam=porta&ultrices=volutpat&libero=erat&non=quisque&mattis=erat&pulvinar=eros,1184,1262,1.48,1.99,35165,48728,25,11,16,20,7
Centre Universitaire de Tiaret,Birmingham,Alabama,35231,http://eepurl.com/quam/suspendisse.js?lorem=in&vitae=hac&mattis=habitasse&nibh=platea&ligula=dictumst&nec=aliquam&sem=augue&duis=quam&aliquam=sollicitudin&convallis=vitae&nunc=consectetuer&proin=eget&at=rutrum&turpis=at&a=lorem&pede=integer&posuere=tincidunt&nonummy=ante&integer=vel&non=ipsum&velit=praesent&donec=blandit&diam=lacinia&neque=erat&vestibulum=vestibulum&eget=sed&vulputate=magna&ut=at&ultrices=nunc&vel=commodo&augue=placerat&vestibulum=praesent&ante=blandit&ipsum=nam&primis=nulla&in=integer&faucibus=pede&orci=justo&luctus=lacinia&et=eget&ultrices=tincidunt&posuere=eget&cubilia=tempus&curae=vel&donec=pede&pharetra=morbi&magna=porttitor&vestibulum=lorem&aliquet=id&ultrices=ligula&erat=suspendisse&tortor=ornare&sollicitudin=consequat&mi=lectus&sit=in&amet=est&lobortis=risus&sapien=auctor&sapien=sed&non=tristique&mi=in&integer=tempus&ac=sit&neque=amet&duis=sem&bibendum=fusce&morbi=consequat&non=nulla&quam=nisl&nec=nunc&dui=nisl&luctus=duis&rutrum=bibendum&nulla=felis&tellus=sed&in=interdum&sagittis=venenatis&dui=turpis&vel=enim&nisl=blandit&duis=mi&ac=in&nibh=porttitor&fusce=pede&lacus=justo&purus=eu&aliquet=massa,1598,621,1.47,2.72,44064,28784,32,36,3,18,3
